row_number,prediction_generatif,prediction_bert,verite,generatif_correct,bert_correct,modeles_d_accord
4,Éditorial,Éditorial,Éditorial,True,True,True
14,Éditorial,Éditorial,Éditorial,True,True,True
22,Éditorial,Éditorial,Éditorial,True,True,True
35,Éditorial,Éditorial,Éditorial,True,True,True
36,Éditorial,Éditorial,Éditorial,True,True,True
37,Éditorial,Éditorial,Éditorial,True,True,True
42,Éditorial,Éditorial,Éditorial,True,True,True
43,Éditorial,Éditorial,Éditorial,True,True,True
56,Éditorial,Éditorial,Éditorial,True,True,True
57,Éditorial,Éditorial,Éditorial,True,True,True
62,Publicité,Publicité,Éditorial,False,False,True
66,Éditorial,Éditorial,Éditorial,True,True,True
75,Éditorial,Éditorial,Éditorial,True,True,True
98,Éditorial,Éditorial,Éditorial,True,True,True
99,Éditorial,Éditorial,Éditorial,True,True,True
105,Publicité,Éditorial,Publicité,True,False,False
106,Publicité,Publicité,Publicité,True,True,True
109,Éditorial,Éditorial,Éditorial,True,True,True
117,Éditorial,Éditorial,Éditorial,True,True,True
118,Éditorial,Éditorial,Éditorial,True,True,True
126,Éditorial,Éditorial,Éditorial,True,True,True
127,Éditorial,Éditorial,Publicité,False,False,True
129,Éditorial,Publicité,Éditorial,True,False,False
135,Éditorial,Éditorial,Éditorial,True,True,True
152,Éditorial,Publicité,Éditorial,True,False,False
154,Publicité,Publicité,Éditorial,False,False,True
155,Éditorial,Éditorial,Éditorial,True,True,True
160,Publicité,Éditorial,Éditorial,False,True,False
164,Éditorial,Éditorial,Éditorial,True,True,True
165,Éditorial,Éditorial,Éditorial,True,True,True
166,Éditorial,Publicité,Éditorial,True,False,False
176,Publicité,Éditorial,Éditorial,False,True,False
182,Éditorial,Éditorial,Éditorial,True,True,True
184,Éditorial,Publicité,Éditorial,True,False,False
185,Éditorial,Éditorial,Éditorial,True,True,True
188,Éditorial,Éditorial,Éditorial,True,True,True
189,Éditorial,Éditorial,Éditorial,True,True,True
211,Éditorial,Éditorial,Éditorial,True,True,True
218,Publicité,Publicité,Publicité,True,True,True
222,Éditorial,Éditorial,Éditorial,True,True,True
223,Éditorial,Éditorial,Éditorial,True,True,True
226,Éditorial,Éditorial,Éditorial,True,True,True
228,Éditorial,Éditorial,Éditorial,True,True,True
229,Éditorial,Éditorial,Éditorial,True,True,True
235,Éditorial,Éditorial,Éditorial,True,True,True
236,Éditorial,Éditorial,Éditorial,True,True,True
251,Éditorial,Éditorial,Éditorial,True,True,True
257,Éditorial,Éditorial,Éditorial,True,True,True
261,Éditorial,Éditorial,Éditorial,True,True,True
262,Éditorial,Éditorial,Éditorial,True,True,True
268,Éditorial,Éditorial,Éditorial,True,True,True
273,Publicité,Publicité,Publicité,True,True,True
276,Éditorial,Publicité,Éditorial,True,False,False
280,Éditorial,Éditorial,Éditorial,True,True,True
284,Éditorial,Éditorial,Éditorial,True,True,True
288,Éditorial,Éditorial,Éditorial,True,True,True
291,Publicité,Publicité,Éditorial,False,False,True
